valley,site,tomb,unique_ID,period,sex,probable_sex ,dimorphism_index,age_categ,peri-mortem,#_peri,overkill,anterior/posterior ,facial,facial_sector,parietal,parietal_sector,temporal,temporal_sector,occipital,occipital_sector,ante-mortem,#_ante,anterior/posterior ,facial,facial_sector,parietal,parietal_sector,temporal,temporal_sectr,occipital,sum_traumas,trauma,critical_trauma,AMS Subset,valley,site,tomb,unique_ID,mod_cranium,mod_style,C14_RangeBP,Cal_medianBP,C14_RangeAD,main_period,phase
Aja,Ayaorcco,C3,Cr60,LIP,Female,,6,Middle Adult,N,0,N,,,,,,,,,,Y,2,A,XX,"R,R",,,,,,2,Y,N,,Tierras Blancas,Ayapata,C2,Cr105,Y,AO,652 - 565   ,603,1266 - 1387,LIP,PIII
Aja,Ayaorcco,C3,Cr61,LIP,Female,,8,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C2,Cr110,Y,AO,654 - 571 ,596,1296 - 1379,LIP,PIII
Aja,Ayaorcco,C3,Cr62,LIP,Ind,,NA,Child,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C2,Cr115,N,NA,653 - 569     ,598,1297 - 1381,LIP,PIII
Aja,Ayaorcco,C3,Cr63,LIP,Female,,4,Young Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C2,Cr117,Y,AO,627 - 546      ,601,1291 - 1398,LIP,PIII
Aja,Ayaorcco,C3,Cr64,LIP,Ind,,NA,Adolescent,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C2,Cr121,Y,AO,765 - 731,747,1185 - 1219,LIP,PI
Aja,Ayaorcco,C3,Cr65,LIP,Male,,19,Old Adult,N,0,N,,,,,,,,,,Y,2,A,X,R,X,L,,,,2,Y,N,,Tierras Blancas,Ayapata,C2,Cr128,N,NA,664 - 573 ,642,1286 - 1377,LIP,PIII
Aja,Ayaorcco,C3,Cr66,LIP,Female,,7,Middle Adult,N,0,N,,,,,,,,,,Y,1,P,,,X,L,,,,1,Y,N,,Tierras Blancas,Ayapata,C2,Cr133,Y,AE,632 - 560      ,607,1318 - 1390,LIP,PIII
Aja,Ayaorcco,C3,Cr67,LIP,Female,,8,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C2,Cr139,Y,AO,647 - 563    ,600,1303 - 1387,LIP,PIII
Aja,Ayaorcco,C3,Cr68,LIP,Female,,8,Young Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C2,Cr140,Y,AO,710 - 666    ,678,1240 - 1284,LIP,PII
Aja,Ayaorcco,C3,Cr69,LIP,Male,,17,Young Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C2,Cr142,Y,AO,649 - 564     ,600,1301 - 1386,LIP,PIII
